Sat Nov 27 05:50:52 2021 || UID: 520365159 || FULL NAME: Good || MESSAGE: Пользователь инициировался администратором
Wed Dec  8 06:51:40 2021 || UID: 520365159 || FULL NAME: Good || MESSAGE: Пользователь инициировался администратором
Thu Dec  9 05:59:16 2021 || UID: 729931301 || FULL NAME: Alexander Abashidze || MESSAGE: Пользователь не инициировался администратором
Sat May 14 18:57:40 2022 || UID: 520365159 || FULL NAME: Good || MESSAGE: Доступ к классу разрешен
Sat May 14 18:58:25 2022 || UID: 520365159 || FULL NAME: Good || MESSAGE: Доступ к классу разрешен
Thu Jul 14 16:57:13 2022 || UID: 520365159 || FULL NAME: Good || MESSAGE: Пользователь инициировался администратором
Thu Jul 14 17:02:18 2022 || UID: 520365159 || FULL NAME: Good || MESSAGE: Пользователь инициировался администратором
Thu Jul 14 17:02:39 2022 || UID: 520365159 || FULL NAME: Good || MESSAGE: Доступ к классу разрешен
Thu Jul 14 17:08:37 2022 || UID: 520365159 || FULL NAME: Good || MESSAGE: Доступ к классу разрешен
Thu Jul 14 17:08:41 2022 || UID: 520365159 || FULL NAME: Good || MESSAGE: Пользователь инициировался администратором
Thu Jul 14 17:10:50 2022 || UID: 520365159 || FULL NAME: Good || MESSAGE: Пользователь инициировался администратором
